,Links,Title,Locality
0,https://www.99acres.com//other-residential-property-for-rent-in-shastri-nagar-bhubaneswar-2000-sq-ft-spid-M62492278,Residential property for rent in Shastri Nagar,"Co-Work space, for office propose , it located in center of bbsr city, fully furnished office preferred for startup companymore"
1,https://www.99acres.com//2-bhk-bedroom-independent-house-villa-for-rent-in-nayapalli-bhubaneswar-850-sq-ft-spid-K62812052,2 Bedroom House for rent in Nayapalli,"Near dav public school unit 8 , market / shopping 1.5km, crp , bus stop - 400 mtr , airport 4.5km , railway station- 3.5km, shopping mall , kalyan mandap 3 km , vegetable market / daily needs 500 mtr nearmore"
2,https://www.99acres.com//3-bhk-bedroom-apartment-flat-for-rent-in-shastri-nagar-bhubaneswar-1200-sq-ft-spid-T62781144,3 BHK Apartment for rent in Shastri Nagar,"Spacious property in prime location, exactly beside to main road."
3,https://www.99acres.com//2-bhk-bedroom-apartment-flat-for-rent-in-nayapalli-bhubaneswar-995-sq-ft-spid-Q61884784,2 BHK Apartment for rent in Nayapalli,"A 2 bhk flat for rent in nayapalli, bhubaneswar is available. It is a spacious and thoughtfully designed apartment. This apartment with a single balcony is a part of v enclave.This apartment has bathroom(s).The 2 bhk apartment has a super built-Up area of 995 sq.Ft. It is on the 1st floor of 3 floors and is available to families, single men and single women.This is a unfurnished apartment with ...more"
4,https://www.99acres.com//1-bhk-bedroom-independent-house-villa-for-rent-in-nayapalli-bhubaneswar-300-sq-ft-spid-O61841762,1 Bedroom House for rent in Nayapalli,"Within 1km from crp sqr. (Terminus location of city-State-Interstate bus service) & situated 100 metres from the main road near unit 8 dav school, bhubaneswar. - Fully furnished tile flooring, separate switch boards for tv, washing machine-Aquaguard, refrigerator, kitchen appliances etc. - Advantages like all necessary electrical fittings, - Suitable for family or start up office or 2 female ad...more"
5,https://www.99acres.com//3-bhk-bedroom-apartment-flat-for-rent-in-nayapalli-bhubaneswar-1400-sq-ft-spid-H57870056,3 BHK Apartment for rent in Nayapalli,"I want to rent out a 3 bhk apartment available in ,nayapalli, bhubaneswar.Located in a serene place, it has a super built-Up area of 1400 sq.Ft. It is an attractive and a newly constructed property. The property has an amazing location and is semi-Furnished.It has 2 balcony(s) which offer an excellent view.more"
6,https://www.99acres.com//1-bhk-bedroom-independent-house-villa-for-rent-in-nayapalli-bhubaneswar-250-sq-ft-spid-G62512962,1 Bedroom House for rent in Nayapalli,"Situated near main road,2 wheeler parking available,guests and friends are allowedmore"
7,https://www.99acres.com//3-bhk-bedroom-independent-house-villa-for-rent-in-nayapalli-bhubaneswar-2000-sq-ft-spid-C62430396,3 Bedroom House for rent in Nayapalli,"24x7 water supply,well spacious room,road side plot,easy accessibility"
8,https://www.99acres.com//1-bhk-bedroom-independent-house-villa-for-rent-in-nayapalli-bhubaneswar-1605-sq-ft-spid-F62407856,1 Bedroom House for rent in Nayapalli,Independent house in prime location.
9,https://www.99acres.com//2-bhk-bedroom-independent-house-villa-for-rent-in-nayapalli-bhubaneswar-1200-sq-ft-r4-spid-P51154978,2 Bedroom House for rent in Nayapalli,Interested to rent independent house/villa.It has spacious 2 bedrooms and 2 bathrooms. .Nice unfurnished enhancing decorplaced at nayapalli.Want to rent it for rs 15000.It is a 10  years old property construction. Marble flooring.more
10,https://www.99acres.com//3-bhk-bedroom-independent-builder-floor-for-rent-in-nayapalli-bhubaneswar-1600-sq-ft-spid-B62309504,3 BHK Independent Builder Floor for rent in Nayapalli,"Elevator available, safety for family, 24 hrs water supply."
11,https://www.99acres.com//4-bhk-bedroom-independent-house-villa-for-rent-in-nayapalli-bhubaneswar-2000-sq-ft-spid-J62254292,4 Bedroom House for rent in Nayapalli,New beautiful well ventillated house near crpf square
12,https://www.99acres.com//3-bhk-bedroom-apartment-flat-for-rent-in-nayapalli-bhubaneswar-1000-sq-ft-spid-X62197496,3 BHK Apartment for rent in Nayapalli,"3 bhk flat in nayapalli for rent.Situated in 1st floor out of 4.24 hour security,lift,intercom,24 hour elecricity with dg,covered car parking.Just 1km from the world showroom and 1 km from iskon temple.Rent-15500 society charge-2500.Pets not allowed.Only for family.For residential purpose only.Salaried preferred.more"
