,link,Title,Description,Price,Total Price,Reviews
0,https://www.airbnb.co.in/rooms/12140781?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Private room in NuuanuMakiki/Lower-private room for budget,1 guest · 1 bedroom · 1 bed · 1 bathroom,"₹7,051","₹37,956 total",4.87
1,https://www.airbnb.co.in/rooms/46355745?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire rental unit in WaikikiHeart of Waikiki! Luxury Studio - FREE Parking!!!,3 guests · Studio · 2 beds · 1 bathroom,"₹16,212","₹90,706 total",5.0
2,https://www.airbnb.co.in/rooms/53407211?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire apartment in WaikikiWaikiki Clean Studio with Canal View,2 guests · Studio · 2 beds · 1 bathroom,"₹10,708","₹61,645 total",5.0
3,https://www.airbnb.co.in/rooms/549387797494551181?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Hotel room in HonoluluPrivate Standard Queen Room Near HNL Airport,2 guests · 1 bedroom · 1 bed · 1 private bathroom,"₹9,091","₹45,453 total",4.22
4,https://www.airbnb.co.in/rooms/7026047?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire apartment in WaikikiClear ☺︎cean view pvt Lanai✔  steps2 beach✔  WIFI,2 guests · Studio · 1 bed · 1 bathroom,"₹16,668","₹91,059 total",4.76
5,https://www.airbnb.co.in/rooms/25631246?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire apartment in Waikiki1179 Ilikai Marina - Legal/taxes included,2 guests · 1 bedroom · 1 bed · 1 bathroom,"₹15,397","₹88,945 total",4.87
6,https://www.airbnb.co.in/rooms/550698815747997704?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire apartment in Waikiki#27th Floor Remodeled Unit with Great Ocean View,2 guests · Studio · 1 bed · 1 bathroom,"₹12,495","₹71,737 total",4.67
7,https://www.airbnb.co.in/rooms/54112801?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,"Entire rental unit in WaikikiCity View Waikiki Studio / Pool, Grill, Paid Gym",2 guests · Studio · 1 bed · 1 bathroom,"₹9,699","₹61,226 total",5.0
8,https://www.airbnb.co.in/rooms/614764789124426525?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire apartment in HonoluluUnobstructed Waikiki Beach Ocean View Free Parking,4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹18,994","₹1,07,703 total",New
9,https://www.airbnb.co.in/rooms/48506271?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire rental unit in WaikikiWaikiki Marina Condo,2 guests · Studio · 1 bed · 1 bathroom,"₹15,363","₹84,454 total",4.79
