,Links,Title,Price,KM covered,Color
0,https://www.carpages.ca//used-cars/saskatchewan/regina/2012-volkswagen-eos-8618822/,2012 Volkswagen Eos,"['$20,995']","86,274KM",White
1,https://www.carpages.ca//new-cars/manitoba/winnipeg/2022-ford-bronco-8618789/,2022 Ford Bronco,"['$60,629']",CALL,Carbonized Grey Metallic
2,https://www.carpages.ca//used-cars/ontario/richmond-hill/2016-mercedes-benz-e-class-8616755/,2016 Mercedes-Benz E-Class,"['$53,300']","56,000KM",Black
3,https://www.carpages.ca//used-cars/ontario/perth/2016-bmw-4-series-8616548/,2016 BMW 4 Series,"['$44,995']","74,500KM",Black
4,https://www.carpages.ca//used-cars/manitoba/winnipeg/2017-bmw-2-series-8616122/,2017 BMW 2 Series,"['$50,999']","28,200KM",
5,https://www.carpages.ca//used-cars/ontario/guelph/2015-ford-mustang-8615873/,2015 Ford Mustang,"['$28,995']","75,000KM",White
6,https://www.carpages.ca//used-cars/ontario/guelph/2017-mazda-miata-mx-5-8615870/,2017 Mazda Miata MX-5,"['$35,998']","44,000KM",Gray
7,https://www.carpages.ca//used-cars/ontario/ottawa/2020-bmw-2-series-8615783/,2020 BMW 2-Series,"['$57,895']","5,525KM",Black
8,https://www.carpages.ca//used-cars/british-columbia/vancouver/2017-rolls-royce-dawn-8615732/,2017 Rolls Royce Dawn,"['$419,995']","11,500KM",Andalusian White
9,https://www.carpages.ca//new-cars/saskatchewan/moose-jaw/2022-ford-bronco-8614763/,2022 Ford Bronco,"['$69,439']",CALL,Eruption Green Metallic
10,https://www.carpages.ca//new-cars/saskatchewan/moose-jaw/2022-ford-bronco-8614757/,2022 Ford Bronco,"['$67,944']",CALL,Eruption Green Metallic
11,https://www.carpages.ca//new-cars/saskatchewan/moose-jaw/2022-ford-bronco-8614751/,2022 Ford Bronco,"['$70,894']",CALL,Oxford White
12,https://www.carpages.ca//used-cars/ontario/maple/2019-mazda-miata-mx-5-8614055/,2019 Mazda Miata MX-5,"['$39,999']","18,072KM",Red
13,https://www.carpages.ca//used-cars/ontario/vaughan/2008-bmw-3-series-8613197/,2008 BMW 3 Series,"['$48,910']","106,183KM",Red
14,https://www.carpages.ca//used-cars/ontario/vaughan/2008-bentley-continental-8613179/,2008 Bentley Continental,"['$81,910']","50,520KM",Dark Blue
15,https://www.carpages.ca//used-cars/ontario/vaughan/2019-mercedes-benz-e-class-8611715/,2019 Mercedes-Benz E-Class,"['$89,888']","48,000KM",Gray
