,Link,Movie Name,Duration,Genere,Description
0,https://www.hotstar.com//in/movies/doctor-strange/1260018179, Doctor Strange,1 hr 54 min,"Superhero, Action, English, Hindi, Tamil, Telugu, 2016",Dr. Strange faces a difficult choice of whether to return to his life of luxury or to protect the wo ...
1,https://www.hotstar.com//in/movies/avengers-endgame/1260013556, Avengers: Endgame,3 hr 1 min,"Superhero, Action, English, Hindi, Tamil, Telugu, 2019","After the devastating events of the Infinity War, the Avengers assemble once more to reverse Thanos’ ..."
2,https://www.hotstar.com//in/movies/avatar/1770000948, Avatar,2 hr 41 min,"Science Fiction, Action, English, Hindi, 2009","Former Marine Jake Sully is deployed as an Avatar on a mission to Pandora but, he ultimately finds h ..."
3,https://www.hotstar.com//in/movies/shangchi-and-the-legend-of-the-ten-rings/1260072682, Shang-Chi and The Legend of The Ten Rings,2 hr 12 min,"Superhero, Action, Adventure, Fantasy, English, Malayalam, Hindi, Tamil, Kannada, Telugu, 2021","Shang-Chi, a martial arts master, must confront the past he thought he left behind when he is drawn  ..."
4,https://www.hotstar.com//in/movies/avengers-infinity-war/1660010677, Avengers: Infinity War,2 hr 29 min,"Superhero, Action, English, Hindi, Tamil, Telugu, 2018","With the powerful Thanos on the verge of raining destruction upon the universe, the Avengers will ha ..."
5,https://www.hotstar.com//in/movies/threes-definitely-a-crowd/1260102305, Three’s Definitely a Crowd,15 min,"Drama, English, 2021",An interracial couple pretend to be roommates when the girl’s Indian mother visits them.
6,https://www.hotstar.com//in/movies/turning-red/1260086978, Turning Red,1 hr 39 min,"Family, Comedy, Animation, English, Malayalam, Hindi, Tamil, Telugu, 2022","Mei Lee, a confident, dorky 13-year-old, tries to balance friends, family, the chaos of adolescence  ..."
7,https://www.hotstar.com//in/movies/marvels-the-avengers/1660000015, Marvel's The Avengers,2 hr 22 min,"Superhero, Action, English, Hindi, Tamil, Telugu, 2012",Nick Fury finds himself in need of a team to pull the world back from the brink of disaster by launc ...
8,https://www.hotstar.com//in/movies/eternals/1260077949, Eternals,2 hr 35 min,"Superhero, Action, Adventure, Fantasy, English, Malayalam, Hindi, Tamil, Kannada, Telugu, 2021","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history, and c ..."
9,https://www.hotstar.com//in/movies/thor-ragnarok/1660010577, Thor: Ragnarok,2 hr 10 min,"Superhero, Action, English, Hindi, Tamil, Telugu, 2017","Deprived of his mighty hammer Mjolnir, Thor must escape the other side of the universe to save his h ..."
