,Link,Job Title,Company Name,Salary,Date of Posting
0,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Am55nePGmiu8ofJOZQWouhCoDu-g5AVGsvX8G6T9oQrUCeMCTcRnFflAhK1wDCavrkEXn9lHydjhl1vvPgZYFIlFyXcgHbFOq5SNz9dJTmQubabhjFOvb3bjrwyIJq8gJcDoTNq6zs8cYJafgNGgRMn1gfkhSWbXsZ3cZpWAytBNXvoTLZk0_xAdthMxSI5fNzMHIOQTqJZDLTUR4bFWjQt9WoFqUwEPvI53SK5C1esyhxiMZw6n15DanmcC6wXMyAGH_0bZ324eppIegWes2ee0rXvVhvj96w4MRkad8jz7uLdN4ppGhbC03axekuU6Zc1O7s4w7cRl6Jjel4WQTl2AODLbEp_gZuMS5DAsxodOZh9ZOQ-Hcv0woK1kwEd9Q-Gx85oJ-DsSt7U3AxPGODPiBs9pukoFUyegtJNzqrdbNrUvMLkT0EdY-DOtVFttPzLdKx6aXSHMToHerHWnek&p=0&fvj=1&vjs=3,Business Analyst,Courtyard Marriott- 560 Scott Avenue 87401,"₹3,00,000 - ₹8,00,000 a year",EmployerActive 8 days ago
1,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWhcgmADz_twSLwem2iYl2ct_LZF9UYK3pCI3i-FPPni-hBJTMfBw-XPblvC85Lm16UlQLpORLYUQ6QgNUdx3aKbjfWYkHeY-YPsEuLxMRywOAwhb77_v5ogrG1GjWF5J-r_DOLThGXRnM7eO7C0vz4I-G31uz8nzpCu2XoVxr9q31XgPgwBFhBkUbktDLtLAJdXi7T_mF1lycIY-e5fX-jNKCe3qFH5ijkEg3dff-vPS24kytlGymXQjqGKFBEFrYeQIB2CNtIPJgnrIfh-7F4Kvpz_9O20iC_8yGnFbcXLtdssKid1B0kJmrPUj3eDyTtsAm0yjxWquvHkC30xDFxCDx6nvwDQP03YT9fvSisj7lGYWOYSo_CFCYC540q4fqd1c4i4oh6cFmRIDDzSd6uVflbgRlimObq_ZvkaQEP79O3UGBKaVe6mM49JgMuHc2L1NauWgSubfm0eWJLzAYhq_6lnFlneLG2GyQD6cBHRY9QK-A9uqTShBPr_De4jJA3cFxvLYkBTh0TG6-OENy&p=1&fvj=0&vjs=3,Client Strategy & Insights Reporting Analyst,Indeed,"₹12,00,000 - ₹17,00,000 a year",EmployerActive 8 days ago
2,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DLYPqjHijSbtEgOTSoi0G-G42nfzVbtxVIKjnV4leIZfijk6g0-8Wv9FxAhs2Y5FCUvfMcSjC35HHV_Xs3fRMENu91yBKssCrRW_CrH2XknSrJUts6Qe-ne4_jI9QnM7ufuURSR47HEhtmK1m3U1btU2ECAkOjNnbcQ6nZX7R9Dvem_iqZ9eaQvLulloHBQUwSgMOdHPzduzp_7BoJn2rGuavUoSZNR3JN-N8Yjns7MBMy96JJc0r5u6RNB49AvL8ow9n5ZLbf3xImWb6vNK-JvjW5RyBvkwU6qfJOtWfeL731X34SD_xrBZvS-Ykc7i0x73PMn1D8F1adAOASr6yXsqYxMDWKo_Gh24foJbCsGWs0zhpGMP7SNYqbYD9lgD99bvYqg1D35-y8GaqntjlpkA8XdDv1eYam_dhYIWsndC0ECvKRH2H75EDrqmloXjAfUZa228hGs3mDd33L2H_SXZm_52CkF2LXnpmUZ1P-G273U_hxT83iOcnxbVcgpjk=&p=2&fvj=1&vjs=3,Senior Data Analyst - Data Engineering/Analytics,Exusia,"₹12,55,575 - ₹28,40,135 a year",EmployerActive 8 days ago
3,https://in.indeed.com/rc/clk?jk=3b84be227da64832&fccid=8d25321c1defe73f&vjs=3,HR Data Analyst,Wipro Limited,N/A,EmployerActive 8 days ago
4,https://in.indeed.com/rc/clk?jk=5c0c81e4ca7a0bb1&fccid=9e215d88a6b33622&vjs=3,newData & Reporting - Analyst,Deloitte,N/A,EmployerActive 8 days ago
5,https://in.indeed.com/rc/clk?jk=7d4dc342f2239db5&fccid=8d25321c1defe73f&vjs=3,Data Analyst,Wipro Limited,N/A,EmployerActive 8 days ago
6,https://in.indeed.com/company/Quadraflake-Consulting-Private-Limited/jobs/SQL-Data-ETL-Analyst-5db0bfb990f87a46?fccid=9c07d3aa6b07a8a8&vjs=3,newSQL Data/ETL Analyst,Quadraflake Consulting Private Limited,"₹6,00,000 - ₹8,00,000 a year",EmployerActive 8 days ago
7,https://in.indeed.com/company/MedTourEasy/jobs/Business-Analyst-8c42ade427bfe1a3?fccid=aa170b94b6f3f104&vjs=3,Business Analyst,MedTourEasy,"₹12,55,000 - ₹15,25,000 a year",EmployerActive 8 days ago
8,https://in.indeed.com/rc/clk?jk=9faec96cbb574c10&fccid=aaf3b433897ea465&vjs=3,newFinance Reference Data operations analyst,"JPMorgan Chase Bank, N.A.",N/A,EmployerActive 8 days ago
9,https://in.indeed.com/company/Onsite/jobs/Data-Analyst-9f6e79344ba014e8?fccid=484cc6ef77d851f7&vjs=3,newData Analyst,Onsite,"₹4,00,000 - ₹7,00,000 a year",EmployerActive 8 days ago
10,https://in.indeed.com/rc/clk?jk=92443289d3367161&fccid=aaf3b433897ea465&vjs=3,newBusiness Analytics - Data Analyst,"JPMorgan Chase Bank, N.A.",N/A,EmployerActive 8 days ago
11,https://in.indeed.com/rc/clk?jk=c87842ae770441f4&fccid=15f43d82dc901ff2&vjs=3,newData Analyst,TARGET,N/A,EmployerActive 8 days ago
12,https://in.indeed.com/company/LEADS-2-BUSINESS/jobs/Data-Analyst-9528265ebfc27f63?fccid=e9e99867fa0ea29d&vjs=3,newData Analyst,LEADS 2 BUSINESS SOLUTIONS P LTD,"₹8,50,000 a year",EmployerActive 8 days ago
13,https://in.indeed.com/rc/clk?jk=b3162ef7c98f0710&fccid=47d6d98c145c184f&vjs=3,newData Analytics,Infochola,N/A,EmployerActive 8 days ago
14,https://in.indeed.com/company/TalentBook-Solutions-Ind-Pvt-Ltd/jobs/Data-Modeler-Data-Analyst-b5fa97590fe6308d?fccid=94dfe7b4f6247b5d&vjs=3,newData Modeler/Data Analyst,TalentBook Solutions Ind Pvt Ltd,"₹5,88,115 - ₹18,67,333 a year",EmployerActive 8 days ago
15,https://in.indeed.com/company/LEADS-2-BUSINESS/jobs/Data-Analyst-9528265ebfc27f63?fccid=e9e99867fa0ea29d&vjs=3,newData Analyst,LEADS 2 BUSINESS SOLUTIONS P LTD,"₹8,50,000 a year",Posted1 day ago
16,https://in.indeed.com/rc/clk?jk=b3162ef7c98f0710&fccid=47d6d98c145c184f&vjs=3,newData Analytics,Infochola,N/A,Posted1 day ago
17,https://in.indeed.com/company/TalentBook-Solutions-Ind-Pvt-Ltd/jobs/Data-Modeler-Data-Analyst-b5fa97590fe6308d?fccid=94dfe7b4f6247b5d&vjs=3,newData Modeler/Data Analyst,TalentBook Solutions Ind Pvt Ltd,"₹5,88,115 - ₹18,67,333 a year",Posted1 day ago
18,https://in.indeed.com/rc/clk?jk=b3e86daf36a4b0f9&fccid=88e5b6699666b4bf&vjs=3,Data Analyst Intern,Toppr,N/A,Posted1 day ago
