,Link,Job Title,Company Name,Salary,Date of Posting
0,https://in.indeed.com/company/TELUS-International/jobs/Operation-Manager-41b0cf2b3f1dd7f8?fccid=1a93caa31afcad42&vjs=3,newOperations Manager,TELUS International,"₹10,00,000 - ₹14,00,000 a year",EmployerActive 6 days ago
1,https://in.indeed.com/rc/clk?jk=fb0468dedafa9676&fccid=ca80b445c11090f7&vjs=3,Drone Pilot,RECRUITMENT MANTRA,"₹1,20,000 - ₹1,80,000 a year",EmployerActive 6 days ago
2,https://in.indeed.com/company/omnipresent-robotics-private-limited/jobs/Drone-Pilot-820ccf69462a2899?fccid=f0cd99c711b55040&vjs=3,Drone Pilot,omnipresent robotics private limited,"₹20,000 - ₹50,000 a month",EmployerActive 6 days ago
3,https://in.indeed.com/company/indrones-solutions/jobs/GIS-Executive-caceca911ff0226d?fccid=383a4f04e9232e54&vjs=3,newGIS Executive,Indrones Solutions Pvt. Ltd.,"₹30,000 - ₹40,000 a month",EmployerActive 6 days ago
4,https://in.indeed.com/rc/clk?jk=0f78a9e574b04d4b&fccid=73d25a9344bdf890&vjs=3,Drone Operator - Andhra Pradesh,Aarav Unmanned Systems,"₹3,16,200 a year",EmployerActive 6 days ago
5,https://in.indeed.com/company/Telus/jobs/-f557c8489c606127?fccid=ed81336789a877c2&vjs=3,newSDE2/SDE3 (Backend Developer),Telus,"₹15,00,000 - ₹30,00,000 a year",EmployerActive 6 days ago
6,https://in.indeed.com/company/GarudaUAV-Soft-Solutions-Pvt.-Ltd./jobs/Business-Development-Manager-7a81ff611ee2d315?fccid=77823cfe8e018feb&vjs=3,Business Development Manager- GIS & Drone Experienced-Mumbai...,GarudaUAV Soft Solutions Pvt. Ltd.,"₹5,00,000 - ₹20,00,000 a year",EmployerActive 6 days ago
7,https://in.indeed.com/company/Connected-Digital-Systems-Private-Limited/jobs/GIS-Analyst-85ba9028cfeb692a?fccid=a47e400c8f054813&vjs=3,newGIS Analyst,Connected Digital Systems Private Limited,"₹35,000 - ₹50,000 a month",EmployerActive 6 days ago
8,https://in.indeed.com/company/TELUS-International/jobs/Senior-Software-Engineer-6bd70a9f649d73d9?fccid=1a93caa31afcad42&vjs=3,newSenior Software Engineer,TELUS International,"₹20,00,000 - ₹35,00,000 a year",EmployerActive 6 days ago
9,https://in.indeed.com/company/pigeon-innovative-solutions/jobs/Drone-Pilot-920a25f3ed1b7624?fccid=59c00194d14db4ad&vjs=3,Drone Pilot,Pigeon Innovative Solutions LLP,"₹10,000 - ₹20,000 a month",EmployerActive 6 days ago
10,https://in.indeed.com/company/Ray-infraprojects-Pvt.Ltd./jobs/Surveyor-30c45bd7b6ab6121?fccid=64bfa2a2b37dc6e6&vjs=3,Surveyor,RIPL,"₹18,000 - ₹30,000 a month",EmployerActive 6 days ago
11,https://in.indeed.com/rc/clk?jk=f0b362ea95b77048&fccid=271ef612e3e4d3cc&vjs=3,E-Commerce Manager,COPTRZ,"₹50,000 a month",EmployerActive 6 days ago
12,https://in.indeed.com/rc/clk?jk=a9b1aa8601d063b7&fccid=73d25a9344bdf890&vjs=3,Drone Operator- Large Scale Mapping(LSM) Haryana,Aarav Unmanned Systems,"₹3,16,200 a year",EmployerActive 6 days ago
13,https://in.indeed.com/company/Avian-Aerospace-Pvt-Ltd/jobs/Drone-Pilot-Trainee-d8bb641f16175502?fccid=0a7615f998db96a5&vjs=3,Drone Pilot Trainee,Avian Aerospace Pvt Ltd,"₹6,000 a month",EmployerActive 6 days ago
14,https://in.indeed.com/company/Jobbycart-technologies-private-limited/jobs/Solar-Sales-Manager-da3fffbf972212c4?fccid=c1441fe156296362&vjs=3,newSolar Sales Manager,Jobbycart Technologies,"₹25,000 - ₹50,000 a month",EmployerActive 6 days ago
15,https://in.indeed.com/rc/clk?jk=843ba079414de01c&fccid=c3e8ef937da686af&vjs=3,Drone - UAV Pilot,Hawk Aerospace,"₹18,000 - ₹20,000 a month",Posted17 days ago
16,https://in.indeed.com/company/Jobbycart-technologies-private-limited/jobs/Drone-Operator-Fresher-b333c576fb7c30ea?fccid=c1441fe156296362&vjs=3,newDrone Operator Fresher's - Any Engineering candidate's,Jobbycart Technologies,"₹12,000 - ₹18,000 a month",Posted17 days ago
17,https://in.indeed.com/rc/clk?jk=553dfe9b3858a3b7&fccid=271ef612e3e4d3cc&vjs=3,newE-Learning Manager,COPTRZ,"₹40,000 - ₹50,000 a year",Posted17 days ago
18,https://in.indeed.com/company/Avian-Aerospace-Pvt-Ltd/jobs/Junior-Account-Executive-d9c418dfdcbe825e?fccid=0a7615f998db96a5&vjs=3,Junior Accounts Executive,Avian Aerospace Pvt Ltd,"₹12,000 - ₹15,000 a month",Posted17 days ago
19,https://in.indeed.com/company/BIRDSCALE-TECHNOLOGY-AND-SERVICES-PRIVATE-LIMITED/jobs/Site-Manager-0b3335e7ac1f3c98?fccid=b3e7f0b8951658dd&vjs=3,Site Manager (Civil),Birdscale Technology and services private limited,"₹20,000 - ₹33,272 a month",Posted17 days ago
20,https://in.indeed.com/company/GarudaUAV-Soft-Solutions-Pvt.-Ltd./jobs/Business-Development-Executive-0fcf0d4f74733a5a?fccid=77823cfe8e018feb&vjs=3,Business Development Executive- GIS & Drone Experienced-Mumb...,GarudaUAV Soft Solutions Pvt. Ltd.,"₹3,00,000 - ₹7,00,000 a year",Posted17 days ago
