,Link,Job Title,Company Name,Experience,Salary,Location,Description,Skills Required
0,https://www.naukri.com/job-listings-data-science-engineer-data-analyst-and-junior-data-scientist-inflexion-analytix-private-limited-caia-kolkata-pune-bangalore-bengaluru-0-to-3-years-240522006078?src=jobsearchDesk&sid=16536795792285779&xp=1&px=1,"Data Science Engineer, Data Analyst and Junior Data Scientist",Inflexion Analytix Private Limited - CAIA,26 May - 04 June,"3,75,000 - 4,50,000 PA.","Kolkata, Pune, Bangalore/Bengaluru", Applications invited from all Freshers and experienced candidates (0-3 yrs) aspiring to...,"['SQL Database', 'Advanced Analytics', 'Data Management', 'Data Extraction', 'ETL', 'AWS', 'data engineering', 'Python']"
1,https://www.naukri.com/job-listings-data-analyst-capgemini-technology-services-india-limited-gurgaon-gurugram-0-to-1-years-260522906933?src=jobsearchDesk&sid=16536795792285779&xp=2&px=1,Data Analyst,Capgemini,0-1 Yrs,Not disclosed,Gurgaon/Gurugram, Microsoft Office Experience Microsoft Word Experience,"['Quality standards', 'big data analytics', 'microsoft', 'MS Office', 'Microsoft Office', 'Microsoft Word']"
2,https://www.naukri.com/job-listings-data-analyst-python-artificial-intelligence-imindyourbusiness-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-0-to-2-years-250522903657?src=jobsearchDesk&sid=16536795792285779&xp=3&px=1,Data Analyst - Python/Artificial Intelligence,iMindYourBusiness,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", Candidates must have ability to work from home and also in a position to use their pers...,"['python', 'SQL server', 'C++', 'VBA', 'Advanced Excel', 'Data Science', 'Artificial Intelligence', 'Data Analyst']"
3,https://www.naukri.com/job-listings-senior-data-analyst-i-axa-xl-silokhera-gurgaon-0-to-5-years-250522903249?src=jobsearchDesk&sid=16536795792285779&xp=4&px=1,Senior Data Analyst I,Axa XL,0-5 Yrs,Not disclosed,Silokhera Gurgaon," AXA XL recognizes data and information as critical business assets, both in terms of ma...",['Senior Data Analyst I']
4,https://www.naukri.com/job-listings-data-science-data-engineer-business-analyst-full-stack-developer-networth-data-products-private-limited-bangalore-bengaluru-0-to-3-years-260522001582?src=jobsearchDesk&sid=16536795792285779&xp=5&px=1,Data Science / Data Engineer / Business Analyst / Full Stack Developer,NETWORTH DATA PRODUCTS PRIVATE LIMITED,0-3 Yrs,"4,00,000 - 6,50,000 PA.",Bangalore/Bengaluru, Bachelors degree or equivalent self education in a Quantitative or Technical field (Sta...,"['data science', 'data engineering', 'IT Skills', 'DevOps', 'full stack developer', 'Cicd Pipeline', 'business analyst']"
5,https://www.naukri.com/job-listings-merilytics-business-analyst-data-analytics-iit-nit-bits-meritus-intelytics-private-limited-hyderabad-secunderabad-0-to-3-years-250522003708?src=jobsearchDesk&sid=16536795792285779&xp=6&px=1,Merilytics - Business Analyst - Data Analytics -IIT/NIT/BITS,Meritus Intelytics Private Limited,0-3 Yrs,Not disclosed,Hyderabad/Secunderabad," A willingness to learn and adopt the best practices in statistics, BI reporting, predic...","['excel', 'analytics', 'python', 'business analysis', 'sql', 'data analysis', 'problem solving', 'statistics']"
6,https://www.naukri.com/job-listings-data-analyst-python-artificial-intelligence-imindyourbusiness-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-2-years-200522905517?src=jobsearchDesk&sid=16536795792285779&xp=7&px=1,Data Analyst - Python/Artificial Intelligence,iMindYourBusiness,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru", Candidates must have ability to work from home and also in a position to use their pers...,"['Python', 'VBA', 'C++', 'Advanced Excel', 'SQL server', 'IT Skills', 'Data Science', 'Artificial Intelligence']"
7,https://www.naukri.com/job-listings-cor-helpdesk-data-analyst-gtt-communications-pune-0-to-2-years-270522502757?src=jobsearchDesk&sid=16536795792285779&xp=8&px=1,CoR Helpdesk Data Analyst ||,GTT Communications,0-2 Yrs,Not disclosed,Pune," 4+ years telecom expense / cost management experience, 4+ years technical systems exper...","['Telecom billing', 'Telecom', 'Helpdesk', 'Product portfolio', 'Cost management', 'Advanced Excel', 'Data Analyst', 'Management']"
8,https://www.naukri.com/job-listings-associate-strategic-value-advisory-data-analyst-coupa-software-inc-pune-0-to-2-years-270522500014?src=jobsearchDesk&sid=16536795792285779&xp=9&px=1,Associate Strategic Value Advisory Data Analyst,Coupa Software Inc.,0-2 Yrs,Not disclosed,Pune, Roles and Responsibilities: Support sales engagements with data-driven discovery by per...,"['Data analysis', 'Excel', 'Sales', 'data science', 'Value engineering', 'Machine learning', 'Information management', 'big data']"
9,https://www.naukri.com/job-listings-senior-data-analyst-anz-banking-group-bangalore-bengaluru-2-to-3-years-260522501264?src=jobsearchDesk&sid=16536795792285779&xp=10&px=1,Senior Data Analyst,ANZ,2-3 Yrs,Not disclosed,Bangalore/Bengaluru, The role is focused on the Group s governance framework for FinCrime Function underpinn...,"['Bfsi', 'Javascript', 'Data processing', 'Data quality', 'Data Analyst', 'Monitoring', 'SQL', 'Recruitment']"
