,Link,Job Title,Company Name,Experience,Salary,Location,Description,Skills Required
0,https://www.naukri.com/job-listings-lead-business-analyst-indegene-private-limited-bangalore-bengaluru-0-to-12-years-260522500639?src=jobsearchDesk&sid=16539118329928182&xp=1&px=1,Lead - Business Analyst,Indegene Private Limited,0-12 Yrs,Not disclosed,Bangalore/Bengaluru, Hands-on experience developing web applications with Drupal x with SXA,"['ASP NET', 'communication', 'Scrum', 'waterfall', 'Drupal 9', 'JavaScript', 'SQL Server', 'Agile']"
1,https://www.naukri.com/job-listings-urgent-openings-for-it-business-analyst-angular-minds-pune-angular-minds-pvt-ltd-pune-0-to-3-years-270522008048?src=jobsearchDesk&sid=16539118329928182&xp=2&px=1,Urgent openings For IT Business Analyst || Angular Minds || Pune,Angular Minds Pvt. Ltd.,0-3 Yrs,Not disclosed,Pune, Experience in Managing IT Projects such as Web Apps and Mobile Apps Being proficient in...,"['trello', 'scrum', 'JIRA', 'IT Skills', 'Project Management', 'BPO', 'project management', 'elicitation']"
2,https://www.naukri.com/job-listings-business-analyst-providential-platforms-private-limited-mumbai-0-to-3-years-290522601573?src=jobsearchDesk&sid=16539118329928182&xp=3&px=1,Business Analyst,PROVIDENTIAL PLATFORMS PRIVATE LIMITED,0-3 Yrs,Not disclosed,Mumbai, BE / BTech from premier institutes with a first-class academic track recordShould love ...,"['Data Analysis', 'Agile Development', 'Software Solutions', 'Business Analysis']"
3,https://www.naukri.com/job-listings-business-analyst-insure-pro-2-0-bangalore-bengaluru-0-to-2-years-240522002419?src=jobsearchDesk&sid=16539118329928182&xp=4&px=1,Business Analyst,Insure Pro 2.0,0-2 Yrs,Not disclosed,Bangalore/Bengaluru(HSR Layout +7), Must be willing to take up different job roles within the team as requiredQualification...,"['Business Analytics', 'Advanced Excel', 'SQL', 'Excel', 'VBA', 'Data Analysis', 'SSIS', 'Macros']"
4,https://www.naukri.com/job-listings-sr-business-analyst-leader-international-sales-signal-expert-global-llp-indore-0-to-5-years-260522003197?src=jobsearchDesk&sid=16539118329928182&xp=5&px=1,Sr. Business Analyst & Leader  (International Sales),Signal Expert Global LLP,0-5 Yrs,"3,00,000 - 7,00,000 PA. (Including Variable: 20.0%)",Indore," Minimum Graduate or Post GraduateShould be a self-motivated, independent, detail-orient...","['international sales', 'Fluent English', 'Client Acquisition', 'Financial Markets', 'Business Development', 'Corporate Selling', 'Forex Trading', 'Relationship m']"
5,https://www.naukri.com/job-listings-senior-business-analyst-muthoot-finance-ltd-new-delhi-3-to-7-years-280522001987?src=jobsearchDesk&sid=16539118329928182&xp=6&px=1,Senior Business  Analyst,Muthoot Finance,3-7 Yrs,"5,00,000 - 10,00,000 PA.",New Delhi(Alaknanda), Sr.Business AnalystNo. of Resources Required 1 nos. CTC: 7.00 Lacs to 8.50 LacsLocation...,"['CRMNEXT', 'Microsoft Dynamics Navision', 'Salesforce.Com Development', 'BUSINESS ANALYST']"
6,https://www.naukri.com/job-listings-senior-business-analyst-csi-the-walt-disney-mumbai-6-to-8-years-280522500446?src=jobsearchDesk&sid=16539118329928182&xp=7&px=1,Senior Business Analyst CSI,The Walt Disney,6-8 Yrs,Not disclosed,Mumbai," Experience in brand marketing, agency roles with exposure to consumer insight mining wi...","['Supply chain', 'Vista', 'Mining', 'Publishing', 'Payment processing', 'Information security', 'Analytical', 'Social media']"
7,https://www.naukri.com/job-listings-opening-it-business-analyst-for-mnc-teamlease-servcies-limited-hyderabad-secunderabad-bangalore-bengaluru-6-to-11-years-240522006684?src=jobsearchDesk&sid=16539118329928182&xp=8&px=1,Job Opening IT Business Analyst   For MNC,Teamlease Servcies limited,6-11 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru", Hi Greetings from Team leaseHope you are doing great!Contract to hire role Willing to w...,"['Business Analyst', 'Requirement Gathering', 'Agile', 'UAT', 'User stories', 'IT Business Analyst', 'Business Analysis']"
8,https://www.naukri.com/job-listings-senior-business-analyst-idfc-first-bank-bangalore-bengaluru-2-to-5-years-280522500902?src=jobsearchDesk&sid=16539118329928182&xp=9&px=1,Senior Business Analyst,idfc first bank,2-5 Yrs,Not disclosed,Bangalore/Bengaluru," Roles & Responsibilities: Understanding of Project Management, Finance and Data analysi...","['Performance tuning', 'Data analysis', 'Business Analyst', 'Competitive analysis', 'Project management', 'Agile', 'Manager Technology', 'application architecture']"
9,https://www.naukri.com/job-listings-business-analyst-infosys-limited-bangalore-bengaluru-2-to-7-years-300522905683?src=jobsearchDesk&sid=16539118329928182&xp=10&px=1,Business Analyst,Infosys,2-7 Yrs,Not disclosed,Bangalore/Bengaluru," Applications, Bachelor Of Science (Engg), Bachelor Of Technology, Bachelor of Engineeri...","['business analysis', 'team management', 'problem solving', 'digital transformation', 'software configuration management', 'Unqork']"
10,https://www.naukri.com/job-listings-business-analyst-mps-ltd-noida-5-to-10-years-300522002248?src=jobsearchDesk&sid=16539118329928182&xp=11&px=1,Business Analyst,MPS Ltd.,5-10 Yrs,"20,00,000 - 25,00,000 PA.",Noida," Experience in leading Agile SCRUM sprint team(s), responsible for defining product requ...","['Web Technologies', 'brd', 'FSD', 'Scrum', 'agile', 'IT Skills', 'Testing', 'it business analysis']"
11,https://www.naukri.com/job-listings-urgent-hiring-for-business-analyst-for-client-deloitte-for-c2h-role-teamlease-servcies-limited-hyderabad-secunderabad-bangalore-bengaluru-3-to-8-years-150422001102?src=jobsearchDesk&sid=16539118329928182&xp=12&px=1,Urgent Hiring For Business Analyst For Client Deloitte For c2h role,Teamlease Servcies limited,3-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru"," BSA, Business System Analyst, Requirement Gathering, User acceptance testing UAT,","['Business Analytics', 'Requirement Gathering', 'business analysis', 'UAT', 'BUSINESS SYSTEM ANALYST', 'SQL', 'User acceptance testing', 'IT Skills']"
12,https://www.naukri.com/job-listings-staff-consultant-business-analyst-ecommerce-domain-nagarro-software-pvt-ltd-anywhere-in-india-9513-6-to-9-years-280522004229?src=jobsearchDesk&sid=16539118329928182&xp=13&px=1,Staff Consultant (Business Analyst) - Ecommerce Domain,Nagarro,6-9 Yrs,Not disclosed,Remote, Experience: 6 - 9 YearsABOUT NAGARRO:We're Nagarro.We are a Digital Product Engineering...,"['Retail', 'Use Cases', 'Requirement Gathering', 'RFP', 'Business Analysis', 'Bid Management', 'Proposal Management']"
13,https://www.naukri.com/job-listings-staff-consultant-business-analyst-nagarro-software-pvt-ltd-anywhere-in-india-9513-6-to-10-years-050122009150?src=jobsearchDesk&sid=16539118329928182&xp=14&px=1,Staff Consultant (Business Analyst),Nagarro,6-10 Yrs,Not disclosed,Remote, Work with the client for requirement gathering & create requirement specification docum...,"['Requirement Gathering', 'Agile', 'Business Analysis', 'SCOPE', 'Management Consulting', 'User Stories', 'WBS', 'UAT']"
14,https://www.naukri.com/job-listings-business-analyst-payswiff-solutions-private-limited-hyderabad-secunderabad-0-to-3-years-260522009037?src=jobsearchDesk&sid=16539118329928182&xp=15&px=1,Business Analyst,Payswiff Solutions,0-3 Yrs,"1,50,000 - 2,75,000 PA.",Hyderabad/Secunderabad," Good at gathering, analyzing and organizing information","['Business Analytics', 'jira', 'Fintech', 'Product Knowledge', 'Business Analysis']"
15,https://www.naukri.com/job-listings-junior-business-analyst-digital-projects-muthoot-finance-ltd-delhi-ncr-2-to-6-years-280522001615?src=jobsearchDesk&sid=16539118329928182&xp=16&px=1,Junior Business Analyst -Digital Projects,Muthoot Finance,2-6 Yrs,"3,00,000 - 5,00,000 PA.",Delhi / NCR(Alaknanda), Jr. Business Analyst/ Business Analyst Digital ProjectsNo. of Resources Required 1 nos....,"['IT Skills', 'Testing', 'business analysis', 'Banking Software']"
16,https://www.naukri.com/job-listings-senior-business-analyst-south-asia-wpp-it-chennai-bangalore-bengaluru-4-to-7-years-250522501286?src=jobsearchDesk&sid=16539118329928182&xp=17&px=1,Senior Business Analyst- South Asia,WPP IT,4-7 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru"," Must be willing able to apply structured requirements analysis modelling methods, in li...","['Procurement', 'Relationship management', 'Data analysis', 'Automation', 'Business analysis', 'Stock exchange', 'Diversity and Inclusion', 'Manager Technology']"
17,https://www.naukri.com/job-listings-senior-business-analyst-broadridge-financial-solutions-india-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-1-to-2-years-270522501730?src=jobsearchDesk&sid=16539118329928182&xp=18&px=1,Senior Business Analyst,Broadridge,1-2 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru"," Flexible to work in any shift Time management, ability to work under pressure and abili...","['Analytical skills', 'Wealth management', 'Business analysis', 'Time management', 'Agile', 'Software development life cycle', 'Senior Business Analyst', 'Investment banking']"
18,https://www.naukri.com/job-listings-senior-business-analyst-genpact-india-private-limited-noida-kolkata-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-bangalore-bengaluru-delhi-ncr-7-to-10-years-260522000416?src=jobsearchDesk&sid=16539118329928182&xp=19&px=1,Senior Business Analyst,Genpact,7-10 Yrs,"10,00,000 - 20,00,000 PA.","Noida, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR"," Principal Consultant Business Analyst Function: OperationsNoida, IndiaWith a startup sp...","['Agile', 'JIRA', 'SQL']"
19,https://www.naukri.com/job-listings-gxp-senior-business-analyst-qms-novo-nordisk-india-bangalore-bengaluru-8-to-13-years-250522501142?src=jobsearchDesk&sid=16539118329928182&xp=20&px=1,GxP Senior Business Analyst - QMS,Novo Nordisk India,8-13 Yrs,Not disclosed,Bangalore/Bengaluru," MSC, MBA, BA, or similar graduate degree in relevant field (software Engineering, Econo...","['Computer science', 'Business services', 'Computer system validation', 'Telecom', 'Change management', 'Service level', 'Design review', 'Problem management']"
20,https://www.naukri.com/job-listings-urgent-opening-sr-business-analyst-ba-gep-navi-mumbai-gep-solutions-pvt-ltd-mumbai-all-areas-1-to-6-years-260522010294?src=jobsearchDesk&sid=16539118374736292&xp=1&px=2,Urgent Opening: Sr. Business Analyst/ BA- GEP- Navi Mumbai,GEP,1-6 Yrs,Not disclosed,Mumbai (All Areas), Associate Project Manager / Project Manager is primarily responsible for constructing a...,"['projects', 'Project Management', 'Implementation And Integration Projects', 'Business Analysis', 'IT Skills', 'Product Management', 'User Acceptance Testing', 'configuration']"
21,https://www.naukri.com/job-listings-hiring-for-business-analyst-rpa-position-gurgaon-louis-dreyfus-company-india-private-limited-gurgaon-gurugram-4-to-8-years-280522004111?src=jobsearchDesk&sid=16539118374736292&xp=2&px=2,Hiring For Business Analyst -RPA Position Gurgaon,Louis Dreyfus Commodities,4-8 Yrs,Not disclosed,Gurgaon/Gurugram, Graduate or post-graduate perferably with IT background Minimum 4 yrs of relevant exper...,"['rpa', 'Business Analytics', 'ms visio', 'business system', 'business process', 'business analysis', 'power bi', 'uat']"
22,https://www.naukri.com/job-listings-business-analyst-mxv-consulting-bangalore-bengaluru-0-to-2-years-230522000957?src=jobsearchDesk&sid=16539118374736292&xp=3&px=2,Business Analyst,MXV Consulting  ,0-2 Yrs,"5,00,000 - 7,00,000 PA.",Bangalore/Bengaluru, We are a performance and impact focused strategy and management consulting firm establi...,"['Secondary Research', 'business analysis', 'Qualitative Research', 'Market Research', 'Primary Research', 'Business Analytics', 'Industry Analysis']"
23,https://www.naukri.com/job-listings-opening-for-business-analyst-inq-technologies-private-limited-chennai-0-to-1-years-180522009702?src=jobsearchDesk&sid=16539118374736292&xp=4&px=2,Job opening For Business Analyst,InQ Technologies Private Limited,0-1 Yrs,"1,25,000 - 1,75,000 PA.",Chennai, Immediate Joiner will be preferred Very good written and verbal communication skills ar...,"['business analysis', 'written', 'verbal communication', 'IT Skills', 'Testing', 'Business Analytics', 'Use Cases', 'Project Documentation']"
24,https://www.naukri.com/job-listings-merilytics-business-analyst-data-analytics-iit-nit-bits-meritus-intelytics-private-limited-hyderabad-secunderabad-0-to-3-years-250522003708?src=jobsearchDesk&sid=16539118374736292&xp=5&px=2,Merilytics - Business Analyst - Data Analytics -IIT/NIT/BITS,Meritus Intelytics Private Limited,0-3 Yrs,Not disclosed,Hyderabad/Secunderabad," A willingness to learn and adopt the best practices in statistics, BI reporting, predic...","['excel', 'analytics', 'python', 'business analysis', 'sql', 'data analysis', 'problem solving', 'statistics']"
25,https://www.naukri.com/job-listings-it-business-analyst-telecom-kpmg-assurance-and-consulting-services-llp-noida-mumbai-pune-gurgaon-gurugram-bangalore-bengaluru-delhi-ncr-4-to-8-years-250522002492?src=jobsearchDesk&sid=16539118374736292&xp=6&px=2,IT Business Analyst (Telecom),KPMG,4-8 Yrs,Not disclosed,"Noida, Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR"," communicating, driving and managing the b usiness analysis effo rtMust have experience ...","['it business analysis', 'telecom', 'agile', 'business analyst']"
26,https://www.naukri.com/job-listings-it-business-analyst-kpmg-assurance-and-consulting-services-llp-noida-pune-gurgaon-gurugram-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-9-years-250522002399?src=jobsearchDesk&sid=16539118374736292&xp=7&px=2,IT Business Analyst,KPMG,4-9 Yrs,Not disclosed,"Noida, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," communicating, driving and managing the b usiness analysis effo rtMust have experience ...","['it business analysis', 'agile', 'business analyst', 'Brd', 'frd', 'Business Analysis']"
