,Link,Job Title,Company Name,Experience,Salary,Location,Description,Skills Required
0,https://www.naukri.com/job-listings-deep-learning-engineer-nlp-computer-vision-datatobiz-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-4-to-7-years-310522906890?src=jobsearchDesk&sid=16541067408085822&xp=1&px=1,Deep Learning Engineer - NLP/Computer Vision,DataToBiz,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR", Minimum 2 years experience in NLP Computer vision domain to succeed in this role (Manda...,"['Python programming', 'DL Model optimization', 'Deep Learning', 'Tensorflow', 'Python', 'Machine learning', 'Convolutional Neural Networks', 'Recurrent Neural Networks']"
1,https://www.naukri.com/job-listings-computer-vision-engineer-artificial-intelligence-myhealthcare-technologies-gurgaon-gurugram-bangalore-bengaluru-0-to-2-years-030322910498?src=jobsearchDesk&sid=16541067408085822&xp=2&px=1,Computer Vision Engineer - Artificial Intelligence,MyHealthcare Technologies,0-2 Yrs,Not disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru"," Strong development skills required in Python Experience with large datasets, Cloud envi...","['Artificial Intelligence', 'Cloud services', 'Computer Vision', 'Machine Learning', 'bitbucket', ""API's"", 'Image Processing', 'RCNN']"
2,https://www.naukri.com/job-listings-lead-embedded-engineer-computer-vision-technologies-xr-research-qualcomm-technologies-inc-bangalore-bengaluru-2-to-6-years-250522501175?src=jobsearchDesk&sid=16541067408085822&xp=3&px=1,"Lead Embedded Engineer, Computer Vision Technologies - XR Research","Qualcomm Technologies, Inc",2-6 Yrs,Not disclosed,Bangalore/Bengaluru, Team player who can function well with minimum supervision Bachelors degree in Computer...,"['Wireless', 'Computer science', 'Prototype', 'Linux', 'FPGA', 'Firmware', 'Sensors', 'Windows']"
3,https://www.naukri.com/job-listings-camera-system-engineer-dsp-computer-vision-d-d-solutions-bangalore-bengaluru-8-to-13-years-310522907416?src=jobsearchDesk&sid=16541067408085822&xp=4&px=1,Camera System Engineer - DSP / Computer Vision,D&D Solutions,8-13 Yrs,Not disclosed,Bangalore/Bengaluru, The ideal candidate is a highly organized and creative self-starter and multi-tasker wh...,"['DSP', 'C', 'Computer Vision', 'Embedded System', 'image processing', 'C++', 'SoC', 'Camera Driver']"
4,https://www.naukri.com/job-listings-computer-vision-engineer-neel-metal-products-ltd-gurgaon-gurugram-2-to-5-years-060522008394?src=jobsearchDesk&sid=16541067408085822&xp=5&px=1,Computer Vision Engineer,JBM Group,2-5 Yrs,Not disclosed,Gurgaon/Gurugram," Experience in large scale projects Collect data, perform data preprocessing, define per...","['Artificial Intelligence', 'machine learning', 'Computer Vision', 'data mining', 'IT Skills', 'Testing', 'algorithms']"
5,https://www.naukri.com/job-listings-computer-vision-engineer-orbo-ai-noida-mumbai-2-to-5-years-310522906714?src=jobsearchDesk&sid=16541067408085822&xp=6&px=1,Computer Vision Engineer,Orbo.AI,2-5 Yrs,Not disclosed,"Noida, Mumbai", Prior experience in machine learning and image processing computer vision,"['Open Source', 'Computer Vision', 'Python', 'IT Skills', 'Machine Learning', 'C++', 'C', 'OpenCV']"
6,https://www.naukri.com/job-listings-site-reliability-engineer-with-a-deep-learning-and-computer-vision-connexions-bangalore-bengaluru-5-to-10-years-010622908336?src=jobsearchDesk&sid=16541067408085822&xp=7&px=1,Site Reliability Engineer (with a Deep-Learning and Computer Vision,Connexions,5-10 Yrs,Not disclosed,Bangalore/Bengaluru, Role: Site Reliability Engineer (with a Deep-Learning and Computer Vision technologies ...,"['SQL', 'IT Skills', 'Python', 'Software Development', 'Cloud', 'DevOps', 'Big Data', 'AWS']"
7,https://www.naukri.com/job-listings-ai-computer-vision-developer-ibm-india-pvt-limited-ahmedabad-3-to-5-years-310522914118?src=jobsearchDesk&sid=16541067408085822&xp=8&px=1,AI Computer Vision Developer,IBM,3-5 Yrs,Not disclosed,Ahmedabad," Software Developers at IBM are the backbone of our strategic initiatives to design, cod...","['Application integration', 'Computer vision', '3D modeling', 'SAP', 'Prototype', 'Consulting', 'Machine learning', 'Open source']"
8,https://www.naukri.com/job-listings-hcl-hiring-for-image-processing-computer-vision-hcl-technologies-limited-pune-bangalore-bengaluru-4-to-9-years-270222000623?src=jobsearchDesk&sid=16541067408085822&xp=9&px=1,HCL - Hiring For Image Processing / Computer Vision,HCL Technologies,4-9 Yrs,"8,00,000 - 18,00,000 PA.","Pune, Bangalore/Bengaluru", Strong experience of C++ programming languageExperience 4 - 9 years,"['image processing', 'c++', 'computer vision', 'DNN', 'Simulink', 'C++ programming', 'Matlab', 'IT Skills']"
9,https://www.naukri.com/job-listings-computer-vision-engineer-adept-global-bangalore-bengaluru-3-to-7-years-010622002729?src=jobsearchDesk&sid=16541067408085822&xp=10&px=1,Computer Vision Engineer,Adept Global ,3-7 Yrs,Not disclosed,Bangalore/Bengaluru, Hands on experience in developing new learning algorithms for one or more of computer v...,"['Tensorflow', 'Pytorch', 'Computer Vision', 'artificial intelligence', 'Python', 'ML', 'AI Infrastructure', 'Optimisation']"
