,Link,Job Title,Company Name,Experience,Salary,Location,Description,Skills Required
0,https://www.naukri.com/job-listings-cyber-security-consultant-grmtechnologies-private-limited-chennai-bangalore-bengaluru-0-to-5-years-290522000671?src=jobsearchDesk&sid=16539111282444898&xp=1&px=1,Cyber Security Consultant,GRMTechnologies Private Limited,0-5 Yrs,"3,00,000 - 8,00,000 PA.","Chennai, Bangalore/Bengaluru", Should have certification on CCNA / CCNP / ITIL Should have minimum 0-5 yrsKnowledge of...,"['Application Security', 'Penetration Testing', 'Information Security', 'IT Audit', 'PCI DSS', 'IT Risk', 'ISO 27001', 'SOC 2']"
1,https://www.naukri.com/job-listings-cyber-security-analyst-capgemini-technology-services-india-limited-chennai-bangalore-bengaluru-4-to-8-years-240522011308?src=jobsearchDesk&sid=16539111282444898&xp=2&px=1,Cyber Security Analyst,Capgemini,4-8 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru"," *Cybersecurity/Information Security *SDLC, Threat modeling * Security - Cloud, Infra, F...","['Cybersecurity/Information Security', 'Information Security', '*SDLC', 'Threat modeling', 'IT Skills', 'Cloud']"
2,https://www.naukri.com/job-listings-cyber-security-quality-analyst-assistant-manager-statestreet-global-advisor-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-6-to-10-years-260522500328?src=jobsearchDesk&sid=16539111282444898&xp=3&px=1,Cyber Security - Quality Analyst - Assistant Manager,StateStreet Global Advisor Pvt Ltd,6-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru", 6+ years of experience in different types of test automation - Web and API Testing Hand...,"['Maven', 'Automation', 'Data management', 'Test scripts', 'Access management', 'Automation tools', 'Agile', 'Scrum']"
3,https://www.naukri.com/job-listings-senior-cyber-security-analyst-netapp-india-private-limited-bangalore-bengaluru-8-to-13-years-190522907404?src=jobsearchDesk&sid=16539111282444898&xp=4&px=1,Senior Cyber Security Analyst,NetApp,8-13 Yrs,Not disclosed,Bangalore/Bengaluru," In this role, you will be part of a team that is responsible for analysis of cyber thre...","['Linux', 'Solaris', 'Perl', 'Python', 'Firewall', 'VPN', 'Information security', 'SOC']"
4,https://www.naukri.com/job-listings-cyber-security-engineer-visa-inc-bangalore-bengaluru-2-to-6-years-240522501454?src=jobsearchDesk&sid=16539111282444898&xp=5&px=1,Cyber Security Engineer,VISA,2-6 Yrs,Not disclosed,Bangalore/Bengaluru, Visas Cyber Security team is looking for a Cyber Security Engineer who will be responsi...,"['Unix', 'Automation', 'Coding', 'Debugging', 'DNS', 'SIEM', 'SSH', 'Windows']"
5,https://www.naukri.com/job-listings-cyber-security-analyst-gradient-cyber-jaipur-bangalore-bengaluru-delhi-ncr-2-to-7-years-250821006993?src=jobsearchDesk&sid=16539111282444898&xp=6&px=1,Cyber Security Analyst,Gradient Cyber,2-7 Yrs,Not disclosed,"Jaipur, Bangalore/Bengaluru, Delhi / NCR(WFH during Covid)", Desire to work only night shifts and weekendsMalware Reverse Engineering experience Rel...,"['Security Analysis', 'LDAP', 'Python', 'IT Skills', 'Artificial Intelligence', 'Tableau', 'Cyber Security', 'Active Directory']"
6,https://www.naukri.com/job-listings-cyber-security-analyst-soc-7-eleven-talent500-tech-india-private-limited-bangalore-bengaluru-2-to-4-years-240522010792?src=jobsearchDesk&sid=16539111282444898&xp=7&px=1,Cyber Security Analyst - SOC | 7 Eleven,TALENT500 TECH (INDIA) PRIVATE LIMITED,2-4 Yrs,Not disclosed,Bangalore/Bengaluru, Must be flexible to work 24*7 shift rotationsCertification / Licenses You will acquire ...,['soc']
7,https://www.naukri.com/job-listings-we-are-hiring-cyber-security-analysts-societe-generale-global-solution-centre-pvt-ltd-bangalore-bengaluru-4-to-9-years-060422000711?src=jobsearchDesk&sid=16539111282444898&xp=8&px=1,We are Hiring_ Cyber Security Analysts,Societe Generale,4-9 Yrs,Not disclosed,Bangalore/Bengaluru, Year of Experience Relevant Experience Risk Management Relevant Experience Application ...,"['Cyber Security', 'Vulnerability Management', 'Risk Management']"
8,https://www.naukri.com/job-listings-sr-cyber-security-operations-analyst-silicon-valley-bank-bangalore-bengaluru-8-to-13-years-240522500452?src=jobsearchDesk&sid=16539111282444898&xp=9&px=1,Sr. Cyber Security Operations Analyst,Silicon Valley Bank,8-13 Yrs,Not disclosed,Bangalore/Bengaluru, The Global Security Office is the owner of the Incident Management Response Team (IMRT)...,"['Cism', 'Crisis management', 'Business analysis', 'Incident management', 'Scrum', 'Paralegal', 'Risk management', 'Business continuity']"
9,https://www.naukri.com/job-listings-information-cyber-security-test-lead-secure-meters-ltd-udaipur-gurgaon-gurugram-3-to-6-years-250422003917?src=jobsearchDesk&sid=16539111282444898&xp=10&px=1,Information & Cyber Security Test Lead,Secure Meters,3-6 Yrs,Not disclosed,"Udaipur, Gurgaon/Gurugram"," Role - Information & Cyber Security Test LeadWe are looking for an experienced, vulnera...","['ceh', 'cyber security', 'oscp', 'penetration testing', 'nessus']"
10,https://www.naukri.com/job-listings-cyber-security-analyst-prime-infoserv-llp-kolkata-2-to-5-years-270522005215?src=jobsearchDesk&sid=16539111282444898&xp=11&px=1,Cyber Security Analyst,Prime Infoserv,2-5 Yrs,"2,50,000 - 5,00,000 PA.",Kolkata, Roles and Responsibilities 1. Ability to conduct Vulnerability Assessments and Penetrat...,"['Security Analysis', 'Cyber Security', 'Communication', 'Metasploit', 'Kali', 'OWASP', 'Nexpose', 'Rational Appscan']"
11,https://www.naukri.com/job-listings-assistant-manager-it-cyber-security-officer-wonderla-holidays-ltd-bangalore-bengaluru-10-to-12-years-250522009802?src=jobsearchDesk&sid=16539111282444898&xp=12&px=1,Assistant Manager - IT & Cyber Security Officer,Wonderla Holidays Ltd,10-12 Yrs,"12,00,000 - 15,00,000 PA.",Bangalore/Bengaluru(Mysore Road), Compulsory Certification (any one of these) Certified Ethical Hacker Certified Informat...,"['security management', 'cyber security', 'information security', 'investigation', 'ethical hacking', 'risk management', 'it management', 'verbal communication']"
12,https://www.naukri.com/job-listings-cyber-security-analyst-shieldbyte-infosec-pvt-ltd-navi-mumbai-pune-mumbai-all-areas-1-to-5-years-260522006787?src=jobsearchDesk&sid=16539111282444898&xp=13&px=1,Cyber Security Analyst,Shieldbyte Infosec Pvt. Ltd,1-5 Yrs,Not disclosed,"Navi Mumbai, Pune, Mumbai (All Areas)", Hands on experience with Vulnerability Assessment and Penetration testing for web appli...,"['Cyber Security', 'Ceh', 'Oscp', 'IT Skills', 'Testing', 'Cloud', 'Network Security', 'Cissp']"
13,https://www.naukri.com/job-listings-cyber-security-engineer-icav-tech-pvt-ltd-india-9513-3-to-7-years-280522003672?src=jobsearchDesk&sid=16539111282444898&xp=14&px=1,Cyber security engineer,ICAV Tech Pvt. Ltd.,3-7 Yrs,Not disclosed,Remote," Experience in a web application, Mobile App and network Vulnerability Assessment & Expe...","['Software Troubleshooting', 'Cyber Security', 'Technical Knowledge', 'Power Shell', 'Java', 'Penetration testing', 'Node', 'Python']"
14,https://www.naukri.com/job-listings-technical-expert-cyber-security-schneider-electric-india-pvt-ltd-bangalore-bengaluru-4-to-7-years-250522500420?src=jobsearchDesk&sid=16539111282444898&xp=15&px=1,Technical Expert ( Cyber Security ),Schneider Electric,4-7 Yrs,Not disclosed,Bangalore/Bengaluru, Job Responsibilities Duties for security and quality advisor are: Understand SDLC proce...,"['Product quality', 'Automation', 'Coding', 'Project management', 'Hardware design', 'Scrum', 'Firmware', 'Test cases']"
