,Link,Job Title,Company Name,Experience,Salary,Description,Skills Required
0,https://www.naukri.com/job-listings-image-processing-ml-ai-engineer-immediate-joining-kspotfi-systems-india-private-limited-bangalore-bengaluru-2-to-5-years-310522007568?src=jobsearchDesk&sid=16541071839138419&xp=1&px=1,Image Processing ML/AI Engineer (immediate joining),KSPOTFI SYSTEMS INDIA PRIVATE LIMITED,2-5 Yrs,"10,00,000 - 20,00,000 PA.", Kloudspot is looking for a passionate individual with minimum 2 years of professional e...,"['Image Processing', 'OpenVino', 'Computer Vision', 'OpenCV CUDA', 'Caffe', 'Tensorflow', 'AI programming', 'Reinforcement Learning']"
1,https://www.naukri.com/job-listings-hcl-hiring-for-image-processing-computer-vision-hcl-technologies-limited-pune-bangalore-bengaluru-4-to-9-years-270222000623?src=jobsearchDesk&sid=16541071839138419&xp=2&px=1,HCL - Hiring For Image Processing / Computer Vision,HCL Technologies,4-9 Yrs,"8,00,000 - 18,00,000 PA.", Strong experience of C++ programming languageExperience 4 - 9 years,"['image processing', 'c++', 'computer vision', 'DNN', 'Simulink', 'C++ programming', 'Matlab', 'IT Skills']"
2,https://www.naukri.com/job-listings-r-d-engineer-image-processing-bpl-medical-technologies-pvt-ltd-bangalore-bengaluru-4-to-5-years-071221002927?src=jobsearchDesk&sid=16541071839138419&xp=3&px=1,"R&D Engineer- Image Processing,",BPL Medical Technologies Pvt. Ltd.,4-5 Yrs,"5,00,000 - 8,00,000 PA.", 5 experience in image processing for Xray & CArm,"['C#', 'QT', 'UI', 'Dev', 'VC++', 'Image Processing', '.NET Framework']"
3,https://www.naukri.com/job-listings-principal-software-engineer-image-processing-maneva-consulting-private-limited-hyderabad-secunderabad-15-to-19-years-310522002208?src=jobsearchDesk&sid=16541071839138419&xp=4&px=1,Principal Software Engineer - Image Processing,MANEVA CONSULTING PRIVATE LIMITED ,15-19 Yrs,Not disclosed, Roles and Responsibilities C++ application developer on Linux platform with Image proce...,"['image processing', 'radiology', 'ultrasound', 'CT Scan', 'application development', 'Medical Image', 'X - Ray', 'Image rendering']"
4,https://www.naukri.com/job-listings-research-engineer-image-processing-jekson-vision-pvt-ltd-ahmedabad-2-to-7-years-080322004430?src=jobsearchDesk&sid=16541071839138419&xp=5&px=1,Research Engineer - Image Processing,Jekson Vision Pvt Ltd,2-7 Yrs,Not disclosed, Must have analytical skills and Quick learner Implement IEEE papers related to image pr...,"['C++', 'Multithreading', 'Image Processing', 'Computer Vision', 'OpenCV', 'QT', 'MATLAB', 'Python']"
5,https://www.naukri.com/job-listings-image-processing-palette-interactive-india-private-limited-hyderabad-secunderabad-0-to-0-years-010622005237?src=jobsearchDesk&sid=16541071839138419&xp=6&px=1,image processing,PALETTE INTERACTIVE INDIA PRIVATE LIMITED   ,0-0 Yrs,"50,000 - 1,00,000 PA."," Great opportunity to fresher who are looking for a job in a good IT company, High-tech ...","['computer skills', 'Telugu', 'image processing']"
6,https://www.naukri.com/job-listings-image-processing-palette-interactive-india-private-limited-hyderabad-secunderabad-0-to-0-years-010622000446?src=jobsearchDesk&sid=16541071839138419&xp=7&px=1,Image processing,PALETTE INTERACTIVE INDIA PRIVATE LIMITED   ,0-0 Yrs,"50,000 - 1,25,000 PA."," Great opportunity to fresher who are looking for a job in a good IT company, High-tech ...","['computer skills', 'Telugu', 'image processing']"
7,https://www.naukri.com/job-listings-computer-vision-engineer-image-processing-hyringninja-mumbai-3-to-8-years-240522900074?src=jobsearchDesk&sid=16541071839138419&xp=8&px=1,Computer Vision Engineer - Image Processing,HyringNinja,3-8 Yrs,Not disclosed," Hand experience with machine learning techniques such as deep neural nets (DNN, CNN, LS...","['Image Processing', 'GCP', 'Java', 'RNN', 'Pytorch Keras', 'DNN', 'AIML', 'Azure']"
8,https://www.naukri.com/job-listings-data-scientist-image-processing-machine-learning-carbynetech-india-hyderabad-secunderabad-6-to-11-years-031120900445?src=jobsearchDesk&sid=16541071839138419&xp=9&px=1,Data Scientist - Image Processing/Machine Learning,CarbyneTech India,6-11 Yrs,Not disclosed, proficiency with variety of approaches and models from a reputed institute 6-8 years of...,"['Predictive Modeling', 'Data Science', 'Data Scientist', 'Time Series Analysis', 'Image Processing', 'Data Management', 'Machine Learning', 'Predictive Analytics']"
9,https://www.naukri.com/job-listings-data-scientist-image-processing-machine-learning-carbynetech-india-hyderabad-secunderabad-6-to-11-years-031120900219?src=jobsearchDesk&sid=16541071839138419&xp=10&px=1,Data Scientist - Image Processing/ Machine Learning,CarbyneTech India,6-11 Yrs,Not disclosed, proficiency with variety of approaches and models from a reputed institute 6-8 years of...,"['Predictive Modeling', 'Data Science', 'Data Scientist', 'Time Series Analysis', 'Image Processing', 'Data Management', 'Statistical Analyst', 'Machine Learning']"
10,https://www.naukri.com/job-listings-computer-vision-image-processing-engineer-qualcomm-technologies-inc-bangalore-bengaluru-2-to-6-years-180422500243?src=jobsearchDesk&sid=16541071839138419&xp=11&px=1,Computer Vision/Image Processing Engineer,"Qualcomm Technologies, Inc",2-6 Yrs,Not disclosed," Demonstrated embedded system software development experience including kernels, device ...","['Wireless', 'Computer vision', 'C++', 'Software design', 'Linux', 'Image processing', 'Configuration management', 'Debugging']"
11,https://www.naukri.com/job-listings-computer-vision-image-processing-engineer-staff-qualcomm-technologies-inc-bangalore-bengaluru-1-to-14-years-171221500766?src=jobsearchDesk&sid=16541071839138419&xp=12&px=1,Computer Vision/Image Processing Engineer Staff,"Qualcomm Technologies, Inc",1-14 Yrs,Not disclosed, Responsibilities shall include the following: Design and implementation of vision and i...,"['Wireless', 'Computer science', 'C++', 'Software design', 'Linux', 'Image processing', 'Debugging', 'SDLC']"
12,https://www.naukri.com/job-listings-medical-image-processing-engineer-dsp-matlab-opencv-career-maker-bangalore-bengaluru-5-to-8-years-230522905595?src=jobsearchDesk&sid=16541071839138419&xp=13&px=1,Medical Image Processing Engineer - DSP/MATLAB/OpenCV,Career Maker,5-8 Yrs,Not disclosed," Educational Qualification: Doctorate, Masters or Graduate Degree in Computer Science El...","['Medical Image Processing', 'DSP', 'C++', 'OpenCV', 'Image Processing', 'OOAD', 'MATLAB', 'Algorithm']"
13,https://www.naukri.com/job-listings-medical-image-processing-engineer-dsp-matlab-opencv-career-maker-bangalore-bengaluru-5-to-8-years-210522900097?src=jobsearchDesk&sid=16541071839138419&xp=14&px=1,Medical Image Processing Engineer - DSP/MATLAB/OpenCV,Career Maker,5-8 Yrs,Not disclosed," Educational Qualification: Doctorate, Masters or Graduate Degree in Computer Science El...","['MATLAB', 'DSP', 'C++', 'OpenCV', 'Image Processing', 'OOAD', 'Algorithm']"
