,Link,Title,Category,Price,SaLe Price,Discount
0,https://www.nike.com/in/t/metcon-7-training-shoes-MVtzlX/CZ8281-074,Nike Metcon 7,Training Shoes,"11,495","9,197",19.99%
1,https://www.nike.com/in/t/air-huarache-liverpool-fc-shoes-jJ5CL3/DN5080-100,Nike Air Huarache Premium Liverpool F.C.,Shoes,"11,495","9,197",19.99%
2,https://www.nike.com/in/t/air-max-95-se-shoe-FqDnxl/DH4755-200,Nike Air Max 95 SE,Men's Shoes,"15,995","12,797",19.99%
3,https://www.nike.com/in/t/metcon-7-amp-training-shoes-htSGZr/DC9510-199,Nike Metcon 7 AMP,Training Shoes,"13,495","10,797",19.99%
4,https://www.nike.com/in/t/liverpool-fc-2021-22-stadium-home-football-shirt-gcNpBV/DB2560-688,Liverpool F.C. 2021/22 Stadium Home,Men's Football Shirt,"4,695","3,757",19.98%
5,https://www.nike.com/in/t/lebron-19-basketball-shoe-5dpw6F/DC9338-400,LeBron 19,Basketball Shoe,"17,595","14,077",19.99%
6,https://www.nike.com/in/t/air-force-1-low-sp-shoes-BZL91g/DM8462-400,Nike Air Force 1 Low SP,Shoes,"10,295","8,237",19.99%
7,https://www.nike.com/in/t/zoom-fly-4-road-running-shoes-rTFHwQ/CT2392-002,Nike Zoom Fly 4,Men's Road Running Shoes,"14,495","11,597",19.99%
8,https://www.nike.com/in/t/dri-fit-woven-graphic-training-shorts-bjlNgG/DD1738-455,Nike Dri-FIT,Men's Woven Graphic Training Shorts,"2,395","1,917",19.96%
9,https://www.nike.com/in/t/crater-impact-shoes-MrrCn3/DB2477-300,Nike Crater Impact,Men's Shoes,"8,295","6,637",19.99%
10,https://www.nike.com/in/t/air-force-1-07-shroud-shoes-87Xwh7/DC8875-100,Nike Air Force 1 '07 Shroud,Men's Shoes,"11,495","9,197",19.99%
11,https://www.nike.com/in/t/jordan-air-nfh-shoes-1msFvZ/CZ3984-006,Jordan Air NFH,Shoes,"9,295","7,437",19.99%
12,https://www.nike.com/in/t/jordan-ma2-shoe-qw1Z6m/CV8122-003,Jordan MA2,Shoe,"10,895","8,717",19.99%
13,https://www.nike.com/in/t/air-max-90-shoe-Rr3hDm/DA1641-003,Nike Air Max 90 Premium,Men's Shoe,"12,495","9,997",19.99%
14,https://www.nike.com/in/t/flex-woven-training-shorts-NBsnx7/CU4946-451,Nike Flex,Men's Woven Training Shorts,"1,795","1,437",19.94%
15,https://www.nike.com/in/t/waffle-one-shoes-dlDVR1/DO2380-200,Nike Waffle One,Men's Shoes,"9,295","7,437",19.99%
16,https://www.nike.com/in/t/jordan-23-engineered-woven-trousers-QxLqVW/DC9658-010,Jordan 23 Engineered,Men's Woven Trousers,"8,495","6,797",19.99%
17,https://www.nike.com/in/t/dri-fit-flex-woven-training-shorts-npjtqb/DD2004-058,Nike Dri-FIT,Men's Flex Woven Training Shorts,"2,395","1,917",19.96%
18,https://www.nike.com/in/t/jordan-series-es-shoes-FDtg9v/DN1856-106,Jordan Series ES,Men's Shoes,"7,495","5,997",19.99%
19,https://www.nike.com/in/t/glide-flyease-shoes-6Q3K45/DN4918-001,Nike Glide FlyEase,Shoes,"10,295","8,237",19.99%
20,https://www.nike.com/in/t/sportswear-swoosh-t-shirt-hcjlgq/DM6344-010,Nike Sportswear Swoosh,Men's T-Shirt,"1,795","1,437",19.94%
21,https://www.nike.com/in/t/air-max-90-shoes-7nQqVj/DC6083-500,Nike Air Max 90,Men's Shoes,"12,495","9,997",19.99%
22,https://www.nike.com/in/t/jordan-23-engineered-fleece-pullover-hoodie-hc6P05/DJ0202-371,Jordan 23 Engineered,Men's Fleece Pullover Hoodie,"8,995","7,197",19.99%
23,https://www.nike.com/in/t/kyrie-flytrap-4-ep-basketball-shoe-qzg21C/CT1973-006,Kyrie Flytrap 4 EP,Basketball Shoe,"8,195","6,557",19.99%
24,https://www.nike.com/in/t/dri-fit-wild-run-challenger-18cm-brief-lined-running-shorts-P5nRVn/DD6297-077,Nike Dri-FIT Wild Run Challenger,Men's 18cm (approx.) Brief-Lined Running Shorts,"2,095","1,677",19.95%
25,https://www.nike.com/in/t/air-max-ap-shoes-3Rdq04/CU4826-004,Nike Air Max AP,Men's Shoes,"8,295","6,637",19.99%
26,https://www.nike.com/in/t/zoomx-invincible-run-flyknit-road-running-shoes-b1XP3r/CT2228-401,Nike ZoomX Invincible Run Flyknit,Men's Road Running Shoes,"16,595","13,277",19.99%
27,https://www.nike.com/in/t/air-max-pre-day-shoes-HFHMFg/DO2381-737,Nike Air Max Pre-Day,Men's Shoes,"12,495","9,997",19.99%
28,https://www.nike.com/in/t/paul-george-clippers-statement-edition-2020-jordan-nba-swingman-jersey-7mw3DH/CV9480-012,Paul George Clippers Statement Edition 2020,Jordan NBA Swingman Jersey,"4,995","3,997",19.98%
29,https://www.nike.com/in/t/kyrie-infinity-ep-basketball-shoes-QJ01t9/DC9134-500,Kyrie Infinity EP,Basketball Shoes,"11,495","9,197",19.99%
30,https://www.nike.com/in/t/react-infinity-run-flyknit-2-road-running-shoes-Qfh63N/CT2357-002,Nike React Infinity Run Flyknit 2,Men's Road Running Shoes,"14,495","11,597",19.99%
31,https://www.nike.com/in/t/acg-air-mowabb-shoes-mSJ83H/DM0840-001,Nike ACG Air Mowabb,Shoes,"14,495","11,597",19.99%
32,https://www.nike.com/in/t/sb-nyjah-free-2-skate-shoes-cXNdqq/CU9220-700,Nike SB Nyjah Free 2,Skate Shoes,"8,195","6,557",19.99%
33,https://www.nike.com/in/t/los-angeles-lakers-diamond-icon-edition-dri-fit-nba-swingman-jersey-2mWP2V/DB3576-731,Los Angeles Lakers Diamond Icon Edition,Nike Dri-FIT NBA Swingman Jersey,"6,495","5,197",19.98%
34,https://www.nike.com/in/t/dunk-high-1985-sp-shoes-Kwc210/DD9404-800,Nike Dunk High 1985 SP,Shoes,"11,495","9,197",19.99%
35,https://www.nike.com/in/t/air-max-90-laser-shoes-NJsqBK/DH4689-200,Nike Air Max 90 Laser,Men's Shoes,"17,595","14,077",19.99%
