,Link,Name,Location,Price,Sale Price,Description,Discount
9,https://www.oyorooms.com//174051/,Capital O 87274 Snooker Lounge ,"India, Goa",4420,1204,"[' AC ', ' Reception ', ' Window ']",72.76%
0,https://www.oyorooms.com//38535/, OYO 15836 River Front Resort,"Goa Goa GoaIndia, Goa",4472,1398,"[' Free Wifi ', ' Bedside Table / Desk ', ' Power backup ']",68.74%
27,https://www.oyorooms.com//176427/,OYO 88335 D Souza Guest House ,"India, Goa",3087,1039,"[' Ticket Tour Assistance ', ' Reception ', ' AC ']",66.34%
21,https://www.oyorooms.com//20336/,OYO Flagship 12884 Neelratna Guest House,"Porba Vaddo, Goa",2948,1020,"[' Bedside Table / Desk ', ' Full Sized Bed ', ' Dress Hanger ']",65.40%
87,https://www.oyorooms.com//176425/,Capital O 88333 Sea Rock Beach Resort,"North Goa, Goa",3877,1351,"[' Parking Facility ', ' Reception ', ' Free Wifi ']",65.15%
24,https://www.oyorooms.com//175535/,SPOT ON 87940 Hotel Goa Darshan,"MARGAO 403601 GOA, Goa",3479,1305,"[' Geyser ', ' CCTV Cameras ', ' Fire-Extinguisher ']",62.49%
29,https://www.oyorooms.com//113764/,OYO Home 81789 Elegant 2bhk Varca Beach,"Varca, Goa",3226,1286,"[' Parking Facility ', ' Free Wifi ', ' Power backup ']",60.14%
86,https://www.oyorooms.com//50470/,OYO 29422 Navdurga Holiday Stay,"Near Porbha Waddo, Calangute, Goa",2990,1205,"[' Reception ', ' Free Wifi ', ' 24/7 Checkin ']",59.70%
36,https://www.oyorooms.com//113677/,OYO Home 81707 Elegant 1bhk Varca,"Emerald palms. Varca, Goa",2956,1196,"[' Parking Facility ', ' Free Wifi ', ' Power backup ']",59.54%
78,https://www.oyorooms.com//42182/,OYO 19112 Caphina Tourist Cottages,"Near Benaulim Beach Road, Benaulim, Goa",3157,1282,"[' Parking Facility ', ' Reception ', ' Free Wifi ']",59.39%
7,https://www.oyorooms.com//155988/,OYO Flagship 83643 Sai Leela Managed By Seven Seas,"403516, Goa",3385,1377,"[' Full Sized Bed ', ' AC ', ' TV ']",59.32%
26,https://www.oyorooms.com//15829/,OYO Flagship 9741 Triple Beach Guest House,"Colva Circle, Sernabatim, Goa",3072,1324,"[' Parking Facility ', ' Free Wifi ', ' Power backup ']",56.90%
23,https://www.oyorooms.com//173113/,OYO 86912 Sea View Rooms Mandrem,"l, Goa",2712.2,1194,"[' Reception ', ' Free Wifi ', ' Modern Wardrobe ']",55.98%
68,https://www.oyorooms.com//162765/,Capital O 84338 Goodstays,"India, Goa",3539,1572,"[' Parking Facility ', ' Reception ', ' Free Wifi ']",55.58%
31,https://www.oyorooms.com//163135/,Capital O 84486 Hotel Greenland,"India, Goa",2888,1305,"[' Reception ', ' Free Wifi ', ' Power backup ']",54.81%
25,https://www.oyorooms.com//161299/,OYO 84073 Summer Hill Guest House,"India, Goa",3102,1410,"[' Reception ', ' Ticket Tour Assistance ', ' Caretaker ']",54.55%
38,https://www.oyorooms.com//92829/,OYO 68034 Roshan Villa,"Near Goa Centre For The Arts, Altinho, Goa",3902,1795,"[' Private Entrance ', ' Parking Facility ', ' Reception ']",54.00%
91,https://www.oyorooms.com//156976/,OYO Flagship 83890 Star Home Anjuna,"India, Goa",2881,1328,"[' Parking Facility ', ' Ticket Tour Assistance ', ' Reception ']",53.90%
32,https://www.oyorooms.com//108450/,OYO Flagship 77354 Shanell Beach Resort,", Goa",3892,1805,"[' Reception ', ' Ticket Tour Assistance ', ' Caretaker ']",53.62%
20,https://www.oyorooms.com//6657/,OYO Flagship 4195 Clausil Inn,"Near Miramar Beach, Panjim, Goa",3668,1717,"[' Free Wifi ', ' Geyser ', ' CCTV Cameras ']",53.19%
16,https://www.oyorooms.com//113767/,OYO Home 81792 Elegant 2bhk Varca,"Salcete, Goa",3490,1636,"[' Parking Facility ', ' Free Wifi ', ' CCTV Cameras ']",53.12%
73,https://www.oyorooms.com//43690/,OYO Flagship 22251 Hotel Duttraj,"Near Margao Muncipality, Goa",3003,1409,"[' AC ', ' TV ']",53.08%
98,https://www.oyorooms.com//10948/,OYO 6554 Hotel Ashirwad,"Alto Porvorim, Goa Goa Goa,India,403521 ",3430,1614,"[' Private Entrance ', ' Parking Facility ', ' Reception ']",52.94%
69,https://www.oyorooms.com//3779/,OYO 2686 Hotel Shaurya,"Near Panaji KTC Bus Stand, Panjim, Goa",3533,1675,"[' Reception ', ' Power backup ', ' Security ']",52.59%
77,https://www.oyorooms.com//172671/,POP HOME 86715 Anant Nalin Nivas,"Bhekar take, Devgad nipani road, vareri talebajar, Devgad Sindhudurg, Maharashtra",2945,1400,"[' Elevator ', ' Free Wifi ', ' Geyser ']",52.46%
46,https://www.oyorooms.com//174525/,OYO 87455 Soleil,"India, Goa",2365,1125,"[' Living Room ', ' Reception ', ' Caretaker ']",52.43%
75,https://www.oyorooms.com//107981/,Collection O 76996 Casa Paradiso,"Altinho, Goa",4386,2089,"[' Reception ', ' Free Wifi ', ' CCTV Cameras ']",52.37%
19,https://www.oyorooms.com//168362/,OYO 85229 Trivikram Krupa Guest House,"India, Goa",3075.4,1478,"[' Reception ', ' Geyser ', ' CCTV Cameras ']",51.94%
89,https://www.oyorooms.com//9235/,Townhouse OAK The Sapphire Hotel,"Goa, Goa",3009,1447,"[' Parking Facility ', ' Reception ', ' Free Wifi ']",51.91%
82,https://www.oyorooms.com//80449/,OYO Flagship 60088 Omkar Guest House,"Centrally Located, Near Ram Temple, Panjim, Goa",2879,1396,"[' Reception ', ' 24/7 Checkin ', ' In-house Restaurant ']",51.51%
65,https://www.oyorooms.com//170485/,Capital O 85956 La Portuguesa Residency ,"India, Goa",3577,1747,"[' Doctor on Call ', ' Reception ', ' Caretaker ']",51.16%
83,https://www.oyorooms.com//86885/,Collection O 64285 Shane's Beach Resort,"Near Baga Beach, Tito's Lane, Goa",4079,1996,"[' Power backup ', ' Bedside Table / Desk ', ' Full Sized Bed ']",51.07%
67,https://www.oyorooms.com//113621/,Capital O 81657 Madhus Inn Hotel,"Madhu's Inn, Goa",2826,1408,"[' Reception ', ' Power backup ', ' Security ']",50.18%
8,https://www.oyorooms.com//173631/,OYO 87156 Pradeep Guest House,"India, Goa",3163,1581,"[' Parking Facility ', ' Reception ', ' Caretaker ']",50.02%
35,https://www.oyorooms.com//2926/,OYO 2195 Hotel Maharaja,"Near Karma Temptation, Vasco-Da-Gama, Goa",3252,1629,"[' Free Wifi ', ' Power backup ', ' Card Payment ']",49.91%
47,https://www.oyorooms.com//12570/,OYO 7509 Royal Castle,"Near Baga Beach, Baga, Goa",2888.8,1463,"[' Parking Facility ', ' Reception ', ' Power backup ']",49.36%
106,https://www.oyorooms.com//109379/,OYO Home 78156 Classic 2bhk,"Salcete, Goa",4949,2510,"[' Elevator ', ' Parking Facility ', ' Power backup ']",49.28%
103,https://www.oyorooms.com//107670/,OYO 76729 Delma Merchant's Guest House,"India, Goa",3348.6,1701,"[' Living Room ', ' Cot ', ' Washing Machine ']",49.20%
6,https://www.oyorooms.com//114527/,OYO Home 82448 Decent Home Stay Baga,"Baga Calangute Road, Goa",3596.2,1836,"[' Private Entrance ', ' Free Wifi ', ' CCTV Cameras ']",48.95%
94,https://www.oyorooms.com//11658/,OYO Flagship 6956 Hotel Joaquim,"India Goa Goa India 403516, Goa",3515.8,1798,"[' Free Wifi ', ' Geyser ', ' CCTV Cameras ']",48.86%
110,https://www.oyorooms.com//109459/,OYO 39964 2BHK Spacious Holiday Home,"Bardez, Goa",5199.4,2662,"[' Parking Facility ', ' Private Entrance ', ' Free Wifi ']",48.80%
5,https://www.oyorooms.com//86645/,Capital O 64180 Adam's Beach Resort,"Near Titos, Baga, Goa",6000.2,3074,"[' Doctor on Call ', ' Public Washroom ', ' Caretaker ']",48.77%
112,https://www.oyorooms.com//109368/,OYO 78145 Pravin holiday home,"Bishop Alex Dias Rd, Calangute, Goa",4996.2,2564,"[' Private Entrance ', ' Parking Facility ', ' Free Wifi ']",48.68%
