,Link,Name,Location,Price,Sale Price,Description,Discount
0,https://www.oyorooms.com//16722/,OYO Home 10165 Singh's Home,"Near Hari Mandir, Chakkar, Shimla",4755.6,2496,"[' Free Wifi ', ' Geyser ', ' Power backup ']",47.51%
1,https://www.oyorooms.com//74050/,OYO Flagship 45681 Vivek Palace,"Near Golf Course, Naldehra, Shimla",3453.4,1813,"[' Reception ', ' Power backup ', ' 24/7 Checkin ']",47.50%
2,https://www.oyorooms.com//169632/,OYO 85581 New Shushant Regency,"Shimla(Main Market), Shimla",5165.4,2660,"[' Reception ', ' Ticket Tour Assistance ', ' Caretaker ']",48.50%
3,https://www.oyorooms.com//115275/,OYO Flagship 83108 Hotel Shimla View,"India, Shimla",5110.6,2683,"[' Doctor on Call ', ' Reception ', ' Ticket Tour Assistance ']",47.50%
4,https://www.oyorooms.com//17494/,OYO 10692 Hotel Shubham,"Near Bus Stand, Mall Road, fingas estate, Shimla",6424.2,3239,"[' Geyser ', ' CCTV Cameras ', ' Pets Not allowed ']",49.58%
5,https://www.oyorooms.com//75467/,OYO 46779 Moksh Villa,"1 km below sankat mochan temple, village bagh shimla",4529.2,2378,"[' Parking Facility ', ' Reception ', ' Free Wifi ']",47.50%
6,https://www.oyorooms.com//174096/,OYO HOME 87288 Cedar View Homestay,"Shimla, Shimla",4828.2,2535,"[' Elevator ', ' Free Wifi ', ' Geyser ']",47.50%
7,https://www.oyorooms.com//182514/,OYO 89608 Green Valley ,"Jubber main Bazar P.O. Durgapur tesil Sunni, Shimla",5003.8,2627,"[' Parking Facility ', ' Reception ', ' Ticket Tour Assistance ']",47.50%
8,https://www.oyorooms.com//56659/,OYO Flagship 37898 Tara Aanchal Huts,"Near Taranchal Huts, Shimla Shoghi, Shimla",5352.8,2810,"[' Parking Facility ', ' Reception ', ' Free Wifi ']",47.50%
9,https://www.oyorooms.com//179198/,OYO HOME 89277 Kanha's Guest House,"Fingask estate below kali bari temple Shimla 171003, Shimla",4799.4,2520,"[' Elevator ', ' Free Wifi ', ' Geyser ']",47.49%
10,https://www.oyorooms.com//174609/,OYO 87525 Hotel Green ,"national highway  pinjore swarghat road kalka himachal sukhija honda showroom., Shimla",4512.6,2195,"[' Reception ', ' Ticket Tour Assistance ', ' Caretaker ']",51.36%
11,https://www.oyorooms.com//169854/,OYO 85703 Vrinda homestay,"Hp -171013, Shimla",8806,4623,"[' Doctor on Call ', ' Reception ', ' Ticket Tour Assistance ']",47.50%
12,https://www.oyorooms.com//18193/,OYO 11095 Hotel Sai Stay Inn,"Near JCB Public School, Sector-3, Shimla",6229.6,3065,"[' Free Wifi ', ' Balcony ', ' Bedside Table / Desk ']",50.80%
13,https://www.oyorooms.com//58609/,OYO 40149 Hotel Divine Point,"Shimla, Shimla",5098.8,2677,"[' Private Entrance ', ' Reception ', ' Free Wifi ']",47.50%
14,https://www.oyorooms.com//173369/,Capital O 87011 The Far Pavillions ,"Himachal Pradesh , Shimla",5508,2892,"[' Doctor on Call ', ' Reception ', ' Ticket Tour Assistance ']",47.49%
15,https://www.oyorooms.com//176744/,OYO HOME 88463 Verma Home Stay,"Shimla, Shimla",4443.4,2333,[],47.50%
16,https://www.oyorooms.com//170755/,Capital O 86080 Akiyam Homes ,", Shimla",4186.8,2198,"[' Ticket Tour Assistance ', ' Reception ', ' Caretaker ']",47.50%
17,https://www.oyorooms.com//115107/,OYO Flagship 82956 Hotel Yadgar,"Hotel Yadgar Near kali badi mandir mall road shimla , Shimla",6069.8,3186,"[' Reception ', ' Ticket Tour Assistance ', ' Caretaker ']",47.51%
18,https://www.oyorooms.com//73315/,OYO 45337 Hotel Woodland,"Church Area, Mall Road, Shimla",6204.8,3257,"[' Reception ', ' Free Wifi ', ' Power backup ']",47.51%
19,https://www.oyorooms.com//182299/,OYO 89482 Tableau Homestay,Near bahara university wakhnaghat road Shimla,2770.6,1454,"[' Reception ', ' Ticket Tour Assistance ', ' Caretaker ']",47.52%
20,https://www.oyorooms.com//183439/,POP HOME 90168 Mohija Homestay,"India, Shimla",2919.6,1533,"[' Free Wifi ', ' Geyser ', ' CCTV Cameras ']",47.49%
21,https://www.oyorooms.com//177553/,Capital O 88790 Traditional Hotel Himani,"Shimla, Shimla",4928.2,2587,"[' Reception ', ' Bedside Table / Desk ', ' Security ']",47.51%
22,https://www.oyorooms.com//109844/,OYO 78557 Nice View Home Stay,"3rd Floor, Sam Villa, Kanlog, Shimla",5894,3094,"[' Free Wifi ', ' CCTV Cameras ', ' TV ']",47.51%
23,https://www.oyorooms.com//109362/,OYO 78139 Avon Studio Rooms Sam Villa Kanlog,"Near Mall road lift , Shimla",6132.2,3219,"[' Free Wifi ', ' CCTV Cameras ', ' Card Payment ']",47.51%
24,https://www.oyorooms.com//108910/,OYO Home 77721 Krishna Monal Delightful Stay,"Shimla, Shimla",5917.4,3107,[],47.49%
25,https://www.oyorooms.com//109466/,OYO 78241 SAM VILLA Studio,"kanlog, Shimla",6149.4,3228,"[' Free Wifi ', ' CCTV Cameras ', ' TV ']",47.51%
26,https://www.oyorooms.com//109293/,OYO 78073 Chail Alone Inn,"through sadhu pull. 30km from Shimla, Shimla",5976,3137,"[' Parking Facility ', ' CCTV Cameras ', ' Card Payment ']",47.51%
27,https://www.oyorooms.com//109228/,OYO 78009 Avon Villa kanlog,"Near ISBT Shimla., Shimla",5984,3141,"[' Parking Facility ', ' Free Wifi ', ' Geyser ']",47.51%
